"","name_","integer_","total_","na_count_","median_","min_","max_","stain","mutuality"
"194","h2axpositive_nucleus_alexa488_ser_hole_1px_mean","FALSE","8216","1035","0.0079","0","0.0266","h2ax","TRUE"
"195","h2axpositive_nucleus_alexa488_ser_hole_1px_stdev","FALSE","8216","1722","0.0035","0.0000168","0.0246","h2ax","TRUE"
"196","h2axpositive_nucleus_alexa488_ser_edge_1px_mean","FALSE","8216","1035","0.176","0.0698","0.462","h2ax","TRUE"
"197","h2axpositive_nucleus_alexa488_ser_edge_1px_stdev","FALSE","8216","1722","0.044","0.000012","0.211","h2ax","TRUE"
"198","h2axpositive_nucleus_alexa488_ser_ridge_1px_mean","FALSE","8216","1035","0.0297","0.0119","0.0685","h2ax","TRUE"
"199","h2axpositive_nucleus_alexa488_ser_ridge_1px_stdev","FALSE","8216","1722","0.00657","0.000000241","0.0327","h2ax","TRUE"
"200","h2axpositive_nucleus_alexa488_ser_valley_1px_mean","FALSE","8216","1035","0.0443","0.0097","0.175","h2ax","TRUE"
"201","h2axpositive_nucleus_alexa488_ser_valley_1px_stdev","FALSE","8216","1722","0.016","0.0000637","0.133","h2ax","TRUE"
"202","h2axpositive_nucleus_alexa488_ser_saddle_1px_mean","FALSE","8216","1035","0.0466","0.0142","0.181","h2ax","TRUE"
"203","h2axpositive_nucleus_alexa488_ser_saddle_1px_stdev","FALSE","8216","1722","0.0146","0.0000153","0.0744","h2ax","TRUE"
"204","h2axpositive_nucleus_alexa488_ser_bright_1px_mean","FALSE","8216","1035","0.0443","0.0181","0.105","h2ax","TRUE"
"205","h2axpositive_nucleus_alexa488_ser_bright_1px_stdev","FALSE","8216","1722","0.00978","0.0000334","0.0496","h2ax","TRUE"
"206","h2axpositive_nucleus_alexa488_ser_dark_1px_mean","FALSE","8216","1035","0.0463","0.0108","0.157","h2ax","TRUE"
"207","h2axpositive_nucleus_alexa488_ser_dark_1px_stdev","FALSE","8216","1722","0.0156","0.0000351","0.122","h2ax","TRUE"
"208","h2axpositive_cell_mitotrackerdeepred_ser_spot_1px_mean","FALSE","8216","1035","0.016","0.00576","0.0578","mito","TRUE"
"209","h2axpositive_cell_mitotrackerdeepred_ser_spot_1px_stdev","FALSE","8216","1722","0.00358","0.0000173","0.0186","mito","TRUE"
"210","h2axpositive_cell_mitotrackerdeepred_ser_hole_1px_mean","FALSE","8216","1035","0.0092","0.000146","0.0371","mito","TRUE"
"211","h2axpositive_cell_mitotrackerdeepred_ser_hole_1px_stdev","FALSE","8216","1722","0.00277","0.00000412","0.0137","mito","TRUE"
"212","h2axpositive_cell_mitotrackerdeepred_ser_edge_1px_mean","FALSE","8216","1035","0.129","0.0356","0.516","mito","TRUE"
"213","h2axpositive_cell_mitotrackerdeepred_ser_edge_1px_stdev","FALSE","8216","1722","0.0299","0.0000712","0.212","mito","TRUE"
"214","h2axpositive_cell_mitotrackerdeepred_ser_ridge_1px_mean","FALSE","8216","1035","0.0283","0.00997","0.0746","mito","TRUE"
"215","h2axpositive_cell_mitotrackerdeepred_ser_ridge_1px_stdev","FALSE","8216","1722","0.00608","0.000012","0.0352","mito","TRUE"
"216","h2axpositive_cell_mitotrackerdeepred_ser_valley_1px_mean","FALSE","8216","1035","0.0276","0.00793","0.209","mito","TRUE"
"217","h2axpositive_cell_mitotrackerdeepred_ser_valley_1px_stdev","FALSE","8216","1722","0.00797","0.00000461","0.121","mito","TRUE"
"218","h2axpositive_cell_mitotrackerdeepred_ser_saddle_1px_mean","FALSE","8216","1035","0.0312","0.011","0.128","mito","TRUE"
"219","h2axpositive_cell_mitotrackerdeepred_ser_saddle_1px_stdev","FALSE","8216","1722","0.00726","0.0000123","0.0769","mito","TRUE"
"220","h2axpositive_cell_mitotrackerdeepred_ser_bright_1px_mean","FALSE","8216","1035","0.0388","0.0137","0.116","mito","TRUE"
"221","h2axpositive_cell_mitotrackerdeepred_ser_bright_1px_stdev","FALSE","8216","1722","0.00799","0.00000272","0.0442","mito","TRUE"
"222","h2axpositive_cell_mitotrackerdeepred_ser_dark_1px_mean","FALSE","8216","1035","0.0323","0.00936","0.201","mito","TRUE"
"223","h2axpositive_cell_mitotrackerdeepred_ser_dark_1px_stdev","FALSE","8216","1722","0.00897","0.0000219","0.111","mito","TRUE"
"224","h2axpositive_regression_a_b_mean","FALSE","8216","1035","-2.71","-12.1","-0.00446","comb","TRUE"
"225","h2axpositive_regression_a_b_stdev","FALSE","8216","1722","1.15","0.00363","7.21","comb","TRUE"
"226","h2axpositive_intensity_nucleus_alexa488_mean_2_mean","FALSE","8216","1035","1490","449","20100",NA,"FALSE"
"227","h2axpositive_intensity_nucleus_alexa488_mean_2_stdev","FALSE","8216","1722","623","0.636","11300",NA,"FALSE"
"228","h2axpositive_intensity_nucleus_alexa488_stdev_mean","FALSE","8216","1035","674","242","9800","h2ax","TRUE"
